FECHA_REGISTRO;HORA_REGISTRO;PRECIPITACION;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;ESTACION;FECHA_CORTE
20210815;2:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;3:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;4:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;5:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;6:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;7:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;8:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;9:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;10:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;11:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;12:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;13:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;14:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;15:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;16:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;17:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;18:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;19:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;20:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;21:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210815;22:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
